  Kampong Bugis,920
  Kampong Java,10530
  Lavender,9690
  Tanjong Rhu,11110
Lim Chu Kang - Total,110
  Lim Chu Kang,110
Mandai - Total,2090
  Mandai East,-
  Mandai Estate,2090
  Mandai West,-
Marina East - Total,-
  Marina East,-
Marina South - Total,-
  Marina South,-
Marine Parade - Total,46220
  East Coast,-
  Katong,9360
  Marina East (Mp),-
  Marine Parade,26880
  Mountbatten,9980
Museum - Total,510
  Bras Basah,10
  Dhoby Ghaut,320
  Fort Canning,190
Newton - Total,8260
  Cairnhill,3880
  Goodwood Park,1260
  Istana Negara,60
  Monk's Hill,1030
  Newton Circus,250
  Orange Grove,1790
North-Eastern Islands - Total,50
  North-Eastern Islands,50
Novena - Total,49330
  Balestier,32430
  Dunearn,3960
  Malcolm,2950
  Moulmein,9300
  Mount Pleasant,690
Orchard - Total,920
  Boulevard,410
  Somerset,140
  Tanglin,370
Outram - Total,18340
  China Square,1430
  Chinatown,10490
  Pearl's Hill,6120
  People's Park,290
Pasir Ris - Total,147110
  Flora Drive,14680
  Loyang East,2140
  Loyang West,220
  Pasir Ris Central,32240
  Pasir Ris Drive,54420
  Pasir Ris Park,7620
  Pasir Ris Wafer Fab Park,10
  Pasir Ris West,35790
Paya Lebar - Total,40
  Airport Road,-
  Paya Lebar East,10
  Paya Lebar North,30
  Paya Lebar West,-
  Plab,-
Pioneer - Total,80
  Benoi Sector,10
  Gul Basin,10
  Gul Circle,20
  Joo Koon,30
  Pioneer Sector,-
Punggol - Total,174450
  Coney Island,-
  Matilda,52200
  Northshore,460
  Punggol Canal,-
  Punggol Field,48960
  Punggol Town Centre,22260
  Waterway East,50580
Queenstown - Total,95930
  Commonwealth,7000
  Dover,11080
  Ghim Moh,13850
  Holland Drive,12680
  Kent Ridge,80
  Margaret Drive,16090
  Mei Chin,15570
  National University Of S'pore,240
  One North,720
  Pasir Panjang 1,4510
  Pasir Panjang 2,3060
  Port,120
  Queensway,270
  Singapore Polytechnic,100
  Tanglin Halt,10590
River Valley - Total,10070
  Institution Hill,3150
  Leonie Hill,3120
  One Tree Hill,2070
  Oxley,1490
  Paterson,240
Rochor - Total,13120
  Bencoolen,1310
  Farrer Park,2660
  Kampong Glam,120
  Little India,3270
  Mackenzie,110
  Mount Emily,1630
  Rochor Canal,-
  Selegie,210
  Sungei Road,2050
  Victoria,1760
Seletar - Total,300
  Pulau Punggol Barat,-
  Pulau Punggol Timor,-
  Seletar,280
  Seletar Aerospace Park,20
Sembawang - Total,102640
  Admiralty,13920
  Sembawang Central,34800
  Sembawang East,17340
  Sembawang North,25540
  Sembawang Springs,9090
  Sembawang Straits,1910
  Senoko North,10
  Senoko South,30
  The Wharves,-
Sengkang - Total,249370
  Anchorvale,48120
  Compassvale,20960
  Fernvale,58800
  Lorong Halus North,-
  Rivervale,59700
  Sengkang Town Centre,61790
  Sengkang West,10
Serangoon - Total,116900
  Lorong Chuan,8490
  Seletar Hills,14700
  Serangoon Central,24760
  Serangoon Garden,36080
  Serangoon North,15940
  Serangoon North Ind Estate,10
  Upper Paya Lebar,16920
Simpang - Total,-
  Pulau Seletar,-
  Simpang North,-
  Simpang South,-
  Tanjong Irau,-
Singapore River - Total,3260
  Boat Quay,130
  Clarke Quay,130
  Robertson Quay,3010
Southern Islands - Total,1940
  Sentosa,1940
  Southern Group,-
Straits View - Total,-
  Straits View,-
Sungei Kadut - Total,750
  Gali Batu,30
  Kranji,10
  Pang Sua,20
  Reservoir View,20
  Turf Club,670
Tampines - Total,259900
  Simei,39450
  Tampines East,130980
  Tampines North,8040
  Tampines West,79670
  Xilin,1760
Tanglin - Total,21810
  Chatsworth,6890
  Nassim,9520
  Ridout,1520
  Tyersall,3880
Tengah - Total,10
  Brickland,-
  Forest Hill,10
  Garden,-
  Park,-
  Plantation,-
  Tengah Industrial Estate,-
Toa Payoh - Total,121850
  Bidadari,-
  Boon Teck,14660
  Braddell,9810
  Joo Seng,8150
  Kim Keat,7960
  Lorong 8 Toa Payoh,7160
  Pei Chun,10360
  Potong Pasir,11720
  Sennett,7190
  Toa Payoh Central,28020
  Toa Payoh West,14360
  Woodleigh,2450
Tuas - Total,70
  Tengeh,-
  Tuas Bay,10
  Tuas North,30
  Tuas Promenade,10
  Tuas View,10
  Tuas View Extension,10
Western Islands - Total,10
  Jurong Island And Bukom,10
  Semakau,-
  Sudong,-
Western Water Catchment - Total,640
  Bahar,-
  Cleantech,-
  Murai,640
Woodlands - Total,255130
  Greenwood Park,40
  Midview,35270
  North Coast,12100
  Senoko West,20
  Woodgrove,33790
  Woodlands East,98980
  Woodlands Regional Centre,10
  Woodlands South,41000
  Woodlands West,33910
Yishun - Total,221610
  Khatib,10250
  Lower Seletar,18660
  Nee Soon,890
  Northland,28000
  Springleaf,4370
  Yishun Central,2620
  Yishun East,60670
  Yishun South,42240
  Yishun West,53910
